"Table","Location"
"AM.AccessManagementJobRunLogs","Both"
"AM.AccessPolicy","Both"
"AM.AccessPolicyAudit","Both"
"AM.CriteriaConditions","Both"
"AM.CriteriaConditionValues","Both"
"AM.DefaultGroupDefinitions","Both"
"AM.EmployeeRecordChangesResponse","Both"
"AM.GroupCriteriaSet","Both"
"AM.GroupCriteriaSetAudit","Both"
"AM.GroupCriteriaSetCache","Both"
"AM.GroupDefinitionType","Both"
"AM.GroupMembersCache","Both"
"AM.GroupMembershipInformation","Both"
"AM.GroupMemberships","Both"
"AM.Groups","Both"
"AM.GroupsAudit","Both"
"AM.GroupStatus","Both"
"AM.GroupType","Both"
"AM.ReconciliationGroupLog","Both"
"amf.Car","Both"
"amf.CarAudit","Both"
"amf.CarExtension","Both"
"amf.CarExtensionAudit","Both"
"candidate.AddressInfo","Both"
"candidate.CandidateInfo","Both"
"candidate.ContactEntityConversion","Both"
"candidate.ContactEntityCreationInfo","Both"
"candidate.DFJobsCandidateMapping","Both"
"candidate.PhoneInfo","Both"
"candidate.ProfileInfo","Both"
"cdc.captured_columns","Both"
"cdc.change_tables","Both"
"cdc.ddl_history","Both"
"cdc.index_columns","Both"
"cdc.lsn_time_mapping","Both"
"checklist.ActivityType","Both"
"checklist.ActivityTypeCulture","Both"
"checklist.AnswerType","Both"
"checklist.AnswerTypeCulture","Both"
"checklist.AssessmentActivityCourse","Both"
"checklist.AssessmentActivityLearningPlan","Both"
"checklist.AssessmentActivityType","Both"
"checklist.AssessmentAssessorEmployee","Both"
"checklist.AssessmentAssessorType","Both"
"checklist.AssessmentChecklist","Both"
"checklist.AssessmentChecklistCulture","Both"
"checklist.AssessmentQuestion","Both"
"checklist.AssessmentQuestionCulture","Both"
"checklist.AssessmentQuestionOption","Both"
"checklist.AssessmentQuestionOptionCulture","Both"
"checklist.AssessmentSection","Both"
"checklist.AssessmentSectionCulture","Both"
"checklist.AssessmentStatus","Both"
"checklist.AssessmentStatusCulture","Both"
"checklist.AssessmentType","Both"
"checklist.AssessmentTypeCulture","Both"
"checklist.AssessorType","Both"
"checklist.AssessorTypeCulture","Both"
"checklist.EmployeeAssessment","Both"
"checklist.EmployeeAssessmentErrorLog","Both"
"checklist.EmployeeAssessmentResponse","Both"
"company.BusinessUnitCultureReplica","Both"
"company.BusinessUnitReplica","Both"
"company.PositionCultureReplica","Both"
"company.PositionManagementWorkAssignmentReplica","Both"
"company.PositionManagementWorkAssignmentReplicaExtension","Both"
"company.PositionReplica","Both"
"CORPADDS\P1216EF.EmployeeWorkAssignment_bak_ak","Both"
"CORPADDS\PV1F263.temp_personcontact_08126241","Both"
"CORPADDS\PV1FAD9.BEN_16944_tempDFWorkData","Both"
"CORPADDS\PV209DF.temp_PRPaymentexporttrackingdata_20230918","Both"
"CORPADDS\PV20B9D.temp_BenPlanEmployeeBeneficiaryElectedOption20250808142142p125239660","Both"
"CORPADDS\PV20B9D.temp_EmployeeDependentBeneficiary20250808142142p125239660","Both"
"CORPADDS\PV20B9D.temp_EmployeeDependentBeneficiaryId20250808142142p12523966","Both"
"CORPADDS\PV220A7.temp_appuser_20251103","Both"
"CORPADDS\PV220A7.temp_appuser_20251106","Both"
"CORPADDS\PV220A7.temp_employeeonboardingpolicy_20240606","Both"
"CORPADDS\PV220A7.temp_EmployeeOnboardingProgressCache_20240606","Both"
"CORPADDS\PV23811.Temp_DeptJobLMSCertification_09419583_202401001","Both"
"CORPADDS\PV23811.Temp_LMSCertification_09419583_202401001","Both"
"CORPADDS\PV23811.Temp_LMSCourseCertification_09419583_202401001","Both"
"CORPADDS\PV23811.Temp_LMSEmployeeCertification_09419583_202401001","Both"
"CORPADDS\PV23811.Temp_LMSEmployeeCertificationnote_09419583_202401001","Both"
"CORPADDS\PV23811.Temp_LMSLearningPlanCertification_09419583_202401001","Both"
"CORPADDS\PV23811.Temp_LMSRequiredCertificationGroups_09419583_202401001","Both"
"CORPADDS\PV239EE.Temp_prpayrunmessage_12200602","Both"
"CORPADDS\PV23A2A.temp_PRPaymentexporttrackingdata_08977852_20240806","Both"
"CORPADDS\PV23F0F.Temp_LMSEmployeeCertification_06881587","Both"
"CORPADDS\PV2423D.temp_employeeethnicity_12689819","Both"
"CORPADDS\PV2470C.Temp_PersonManagementExemption_07802864","Both"
"CORPADDS\PV2470C.Temp_PersonManagementPersonsToPurge_07802864","Both"
"CORPADDS\PV2470C.Temp_PurgedPersonsEventPayload_07802864","Both"
"CORPADDS\PV28557.temp_employee_07995521","Both"
"CORPADDS\PV28557.temp_employee_07995521_2","Both"
"CORPADDS\PV289B9.temp_DataManagementPolicy_07802864","Both"
"CORPADDS\PV289B9.temp_DataManagementPolicy_07802864_1","Both"
"CORPADDS\PV289B9.Temp_PersonManagementExemption_07802864","Both"
"CORPADDS\PV289B9.Temp_PersonManagementPersonsToPurge_07802864","Both"
"CORPADDS\PV289B9.temp_PersonManagementPurge_07802864","Both"
"CORPADDS\PV289B9.temp_PersonManagementPurge_07802864_1","Both"
"CORPADDS\PV289B9.Temp_PurgedPersonsEventPayload_07802864","Both"
"CVT.DFDataValidationResult","Both"
"dapdstdo.Measure","Both"
"dapdstdo.MeasureCategory","Both"
"dapdstdo.MeasureCategoryCulture","Both"
"dapdstdo.MeasureCategoryList","Both"
"dapdstdo.MeasureCulture","Both"
"dapdstdo.MeasureCustomization","Both"
"dapdstdo.MeasureCustomizationCondition","Both"
"dapdstdo.MeasureDimensionList","Both"
"dapdstdo.MeasureDisabled","Both"
"dapdstdo.MeasuresMonthly","Both"
"dapdstdo.MeasuresQuarterly","Both"
"dapdstdo.MeasuresYearly","Both"
"dapdstdo.UserFavoriteMeasure","Both"
"dapdstdo.UserMeasureOKR","Both"
"dapdstdo.UserMeasureOKRAudit","Both"
"dbo.AccessAuthorization","Both"
"dbo.AccessAuthorizationAudit","Both"
