"Server","SqlMajor","ProductVersion","RenameResult","DeployResult","Error","Timestamp"
"aza5stgsql001","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:25:04"
"aza5supscb002","16",,"RENAMED","Success",,"2026-03-06T10:25:08"
"aza5supsql003","16",,"RENAMED","Success",,"2026-03-06T10:25:20"
"aza5supsql004","16",,"RENAMED","Success",,"2026-03-06T10:25:32"
"aza5supsql005","16",,"RENAMED","Success",,"2026-03-06T10:25:45"
"aza5supsql006","16",,"RENAMED","Success",,"2026-03-06T10:25:57"
"azc5atssql001","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:26:09"
"azc5comsql001","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:26:10"
"azc5pscsql001","16",,"RENAMED","Success",,"2026-03-06T10:26:10"
"azc5pscsql002","16",,"RENAMED","Success",,"2026-03-06T10:26:12"
"azc5pscsql003","16",,"RENAMED","Success",,"2026-03-06T10:26:14"
"azc5supscb001","16",,"RENAMED","Success",,"2026-03-06T10:26:17"
"azc5supscb002","16",,"RENAMED","Success",,"2026-03-06T10:26:18"
"azc5supsql001","16",,"RENAMED","Success",,"2026-03-06T10:26:24"
"azc5supsql002","16",,"RENAMED","Success",,"2026-03-06T10:26:27"
"azc5supsql003","16",,"RENAMED","Success",,"2026-03-06T10:26:29"
"azc5supsql004","16",,"RENAMED","Success",,"2026-03-06T10:26:31"
"azg5actsql001","16",,"RENAMED","Success",,"2026-03-06T10:26:33"
"azg5aptsql001","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:26:33"
"azg5bcpsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:26:33"
"azg5bcpsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:26:49"
"azg5bcpsql003","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:05"
"azg5bcpsql004","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:05"
"azg5bcpsql01b,31433","16",,"RENAMED","Success",,"2026-03-06T10:27:05"
"azg5bcpsql02a,31433","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:06"
"azg5bcpsql02b,31433","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:06"
"azg5cdcsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:06"
"azg5cebsql001","16",,"RENAMED","Success",,"2026-03-06T10:27:06"
"azg5cmtsql002","16",,"RENAMED","Success",,"2026-03-06T10:27:06"
"azg5comsql001","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:07"
"azg5corsql201","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:07"
"azg5corsql202","15",,"Skipped - SQL version ","Skipped - SQL version ",,"2026-03-06T10:27:08"
"azg5opesql004","16",,"RENAMED","Success",,"2026-03-06T10:27:08"
"azg5opesql005","16",,"RENAMED","Success",,"2026-03-06T10:27:09"
"azg5opesql006","16",,"RENAMED","Success",,"2026-03-06T10:27:10"
"azg5pscsql022","16",,"RENAMED","Success",,"2026-03-06T10:27:11"
"azg5pscsql023","16",,"RENAMED","Success",,"2026-03-06T10:27:12"
"azg5pscsql024","16",,"RENAMED","Success",,"2026-03-06T10:27:14"
"azg5pscsql025","16",,"RENAMED","Success",,"2026-03-06T10:27:15"
"azg5pscsql026","16",,"RENAMED","Success",,"2026-03-06T10:27:16"
"azg5pscsql027","16",,"RENAMED","Success",,"2026-03-06T10:27:17"
"azg5pscsql028","16",,"RENAMED","Success",,"2026-03-06T10:27:18"
"azg5pscsql029","16",,"RENAMED","Success",,"2026-03-06T10:27:19"
