"Server","SqlMajor","ProductVersion","RenameResult","DeployResult","Error","Warnings","Timestamp"
"aza5stgsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:27"
"aza5supscb002",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:30"
"aza5supsql003",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:34"
"aza5supsql004",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:37"
"aza5supsql005",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:41"
"aza5supsql006",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:44"
"azc5atssql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:47"
"azc5comsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:48"
"azc5pscsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:48"
"azc5pscsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:49"
"azc5pscsql003",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:49"
"azc5supscb001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:50"
"azc5supscb002",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:50"
"azc5supsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:51"
"azc5supsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:51"
"azc5supsql003",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:52"
"azc5supsql004",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:52"
"azg5actsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:53"
"azg5aptsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:58:53"
"azg5bcpsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,"[10:59:08][Connect-DbaInstance] Failure | Error connecting to [azg5bcpsql001]: The network path was not found.; [10:59:08][Invoke-DbaQuery] Failure | The network path was not found.","2026-03-06T10:58:53"
"azg5bcpsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,"[10:59:24][Connect-DbaInstance] Failure | Error connecting to [azg5bcpsql002]: The network path was not found.; [10:59:24][Invoke-DbaQuery] Failure | The network path was not found.","2026-03-06T10:59:08"
"azg5bcpsql003",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:24"
"azg5bcpsql004",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:24"
"azg5bcpsql01b,31433",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:24"
"azg5bcpsql02a,31433",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:24"
"azg5bcpsql02b,31433",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:24"
"azg5cdcsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,"[10:59:25][Connect-DbaInstance] Failure | Error connecting to [azg5cdcsql002]: Login failed for user 'CUSTADDS\PV2C7B6'.; [10:59:25][Invoke-DbaQuery] Failure | Login failed for user 'CUSTADDS\PV2C7B6'.","2026-03-06T10:59:25"
"azg5cebsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5cmtsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5comsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5corsql201",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5corsql202",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5opesql004",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5opesql005",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5opesql006",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5pscsql022",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5pscsql023",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5pscsql024",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:25"
"azg5pscsql025",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql026",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql027",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql028",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql029",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql030",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql031",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql032",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:26"
"azg5pscsql033",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql034",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql035",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql036",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql037",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql038",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql039",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql040",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql041",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5pscsql042",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:27"
"azg5satsql101",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5sresql01a,31433",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5sresql01b,31433",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5stgsql001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5stgsql002",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5supscb001",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5supscb002",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5supscb003",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5supsql020",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:28"
"azg5supsql021",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:29"
"azg5supsql022",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:29"
"azg5supsql023",,,"Skipped - SQL version ","Skipped - SQL version ",,,"2026-03-06T10:59:29"
