"Server","SqlMajor","ProductVersion","VersionInfo","RenameResult","DeployResult","Warnings","Error","Timestamp"
"aza2corsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:23:22"
"aza2dfcsql006",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:23:29"
"aza2dfcsql007",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:23:37"
"aza2dfcsql008",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:23:44"
"aza2svcsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:23:52"
"azc2corsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:00"
"azc2dfcsql001",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:01"
"azc2dfcsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:02"
"azc2dfcsql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:03"
"azc2vansql003",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:04"
"azg2corsql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:05"
"azg2dfcsql022",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:05"
"azg2dfcsql023",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:05"
"azg2dfcsql024",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:06"
"azg2ehisql004",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:06"
"azm2corsql002",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:06"
"azm2dfcsql010",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:09"
"azm2dfcsql011",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:13"
"azm2dfcsql012",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:16"
"azm2whbsql010",,,"The property 'Value' cannot be found on this object. Verify that the property exists.","Skipped - SQL version","Skipped - SQL version","",,"2026-04-22T11:24:20"
