"SqlInstance","JobName","LastRunStatus","LastRunDate","LastRunDuration","Enabled","Notes"
"aza5monsql001",,,,,,"No matching jobs found"
"aza5pscsql002","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/12/2026 8:25:00 PM",,"True",
"aza5stgsql001",,,,,,"No matching jobs found"
"aza5supscb002","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/12/2026 8:25:00 PM",,"True",
"aza5supsql003",,,,,,"No matching jobs found"
"aza5supsql004","DatabaseFULLBackup_Prod_Azure","Succeeded","2/21/2026 8:06:21 AM",,"True",
"aza5supsql005",,,,,,"No matching jobs found"
"aza5supsql006",,,,,,"No matching jobs found"
"azc5atssql001","DatabaseBackup - SYSTEM_DATABASES - FULL","Failed","5/11/2026 10:55:01 PM",,"True",
"azc5atssql001","DatabaseBackup - USER_DATABASES - FULL","Failed","5/10/2026 11:05:01 PM",,"True",
"azc5comsql001",,,,,,"No matching jobs found"
"azc5monsql001",,,,,,"No matching jobs found"
"azc5pscsql001","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:01 PM",,"True",
"azc5pscsql002","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:01 PM",,"True",
"azc5pscsql003","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:01 PM",,"True",
"azc5supscb001","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:01 PM",,"True",
"azc5supscb002","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:01 PM",,"True",
"azc5supsql001",,,,,,"No matching jobs found"
"azc5supsql002",,,,,,"No matching jobs found"
"azc5supsql003",,,,,,"No matching jobs found"
"azc5supsql004",,,,,,"No matching jobs found"
"azg5actsql001",,,,,,"No matching jobs found"
"azg5aptsql001",,,,,,"No matching jobs found"
"azg5bcpsql001",,,,,,"No matching jobs found"
"azg5bcpsql002",,,,,,"No matching jobs found"
"azg5bcpsql003","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5bcpsql003","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:01 PM",,"True",
"azg5bcpsql004","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5bcpsql004","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:01 PM",,"True",
"azg5bcpsql01a,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5bcpsql01a,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:00 PM",,"True",
"azg5bcpsql01b,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5bcpsql01b,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:00 PM",,"True",
"azg5bcpsql01b,31433","MigrationCustomPostCutoverFullBackupJob_701","Succeeded","5/15/2025 6:25:16 AM",,"False",
"azg5bcpsql02a,31433","DatabaseFULLBackup_PreProd_Azure","Succeeded","8/11/2025 6:20:31 PM",,"False",
"azg5bcpsql02b,31433","DatabaseFULLBackup_PreProd_Azure","Cancelled","8/11/2025 6:15:50 PM",,"False",
"azg5bcpsql02b,31433","MigrationCustomPostCutoverFullBackupJob_688","Succeeded","2/6/2025 6:51:07 AM",,"False",
"azg5cdcsql002",,,,,,"No matching jobs found"
"azg5cebsql001","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5cebsql001","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:01 PM",,"True",
"azg5cmtsql002","DatabaseFULLBackup_NonProd_Azure","Succeeded","5/11/2026 8:25:01 PM",,"True",
"azg5comsql001",,,,,,"No matching jobs found"
"azg5corsql201",,,,,,"No matching jobs found"
"azg5corsql202",,,,,,"No matching jobs found"
"azg5dagsql01a,31433",,,,,,"No matching jobs found"
"azg5dagsql01b,31433",,,,,,"No matching jobs found"
"azg5dflsql002",,,,,,"No matching jobs found"
"azg5dflsql003",,,,,,"No matching jobs found"
"azg5dflsql01a,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5dflsql01a,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Failed","5/11/2026 9:05:00 PM",,"True",
"azg5dflsql01b,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5dflsql01b,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:00 PM",,"True",
"azg5dflsql11a,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5dflsql11a,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:00 PM",,"True",
"azg5dflsql11b,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5dflsql11b,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:00 PM",,"True",
"azg5dflsql13a,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5dflsql13a,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:00 PM",,"True",
"azg5dflsql13b,31433","DatabaseFULLBackup_BIServer_NonProd_Azure_Cluster","Unknown","1/1/0001 12:00:00 AM",,"False",
"azg5dflsql13b,31433","DatabaseFULLBackup_NonProd_Azure_Cluster","Succeeded","5/11/2026 9:05:00 PM",,"True",
"azg5monsql001",,,,,,"No matching jobs found"
